,1,2,3,Adult,C,Child,Dead,Old,Q,S,Survived,Teen,Unknown,female,male,nan
0,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False
1,True,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False
2,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False
3,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False
4,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False
5,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True
6,True,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False
7,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False
8,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False
9,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False
10,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False
11,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False
12,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
13,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False
14,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False
15,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False
16,False,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False
17,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True
18,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False
19,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True
20,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False
21,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False
22,False,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False
23,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False
24,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False
25,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False
26,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True
27,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False
28,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True
29,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True
30,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False
31,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
32,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True
33,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False
34,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False
35,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
36,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True
37,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False
38,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False
39,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False
40,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False
41,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False
42,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True
43,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False
44,False,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False
45,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True
